strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Japan/TKYmbc17534/2022,EPI_ISL_16175232,Tokyo Metropolitan Institute of Public Health,Tokyo Metropolitan Institute of Public Health,"Akane Negishi, Sachiko Harada, Ryota Kumagai, Ai Suzuki, Fumi Kasuya, Kenshiro Kuroki, Arisa Amano, Maya Isogai, Hitoshi Ito, Shota Yokota, Takushi Fujiwara, Hirofumi Miyake, Mami Nagashima, Kenji Sadamasu"
hCoV-19/Slovenia/237682/2022,EPI_ISL_16235869,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Alen Suljič, Samo Zakotnik, Tomaž Mark Zorec, Doroteja Vlaj, Tina Živič, Tina Gabrovšek, Patricija Pozvek, Špela Pleh, Miša Korva, Mario Poljak, Tatjana Avšič - Županc"
hCoV-19/Portugal/PT45394/2022,EPI_ISL_16618194,H Braga,Instituto Nacional de Saude Doutor Ricardo Jorge (INSA),Borges et al
hCoV-19/Chile/MA-120097/2022,EPI_ISL_15527414,Genetica Molecular and Subdepartamento de Virologia ISP Chile,Instituto de Salud Publica de Chile,"Constanza Campano, Marcelo Rojas, Mariela Guajardo, Paulo covarrubias, Barbara Parra, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Matias Pezoa, Ivan Ponce, Jorge Fernandez"
hCoV-19/Madagascar/IPM-38708/2020,EPI_ISL_1660315,"Virology Unit, Institut Pasteur de Madagascar","Virology Unit, Institut Pasteur de Madagascar","Marion Barbet, Sylvie Behillil, Frédéric Lemoine, Corinne Maufrais, Christophe Malabat, Emmanuelle Permal, Méline Bizard, Angela Brisebarre, Camille Capel, Louise Lefrançois, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Christian Ranaivoson, Cara E. Brook, Soa Fy Andriamandimby, Vololoniaina Raharinosy, Tsiry Randriambolamanantsoa, Helisoa Razafimanjato, Norosoa Razanajatovo, Sylvie van der Werf, Philippe Dussart"
hCoV-19/Ecuador/NIC-INSPI-8020543/2022,EPI_ISL_15898904,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Mauritius/10062/2023,EPI_ISL_17245079,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Ecuador/NIC-INSPI-8022764/2022,EPI_ISL_15898907,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Brazil/SC-NVBS24615GENOV044922608517/2022,EPI_ISL_15685136,DASA,DASA,"Rodrigo Guarischi, Paulo Pierry, Adriano Bonaldi, Cristina Oliveira, Bianca Cota, Luciane Sussuchi, Laryssa Sassi, Keila Orneles, Rodrigo Salazar, Annelise Lopes, Camila Romano, Jose Levi"
hCoV-19/USA/NY-PRL-230313_81B06/2023,EPI_ISL_17242800,Pandemic Response Lab - NYC,"Pandemic Response Lab, R&D","Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent"
hCoV-19/Guatemala/10036-LNS/2022,EPI_ISL_16338738,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/USA/DE-CDC-LC0662773/2022,EPI_ISL_13117883,Laboratory Corporation of America,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton Paden, Duncan MacCannell"
hCoV-19/Slovakia/BA_22_00041275/2022,EPI_ISL_16428797,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Tomáš Szemes, Anna Kaliňáková, Barbora Kotvasová, Lucia Ševčíková, Terézia Vrabľová, Tatiana Sedláčková, Diana Rusňáková, Miroslav Böhmer, Jaroslav Budiš, Jakub Styk, Nikola Lipková, Michaela Jakubková Forgáčová, Silvia Bokorová, Pavol Mišenko"
hCoV-19/Mauritius/10134/2023,EPI_ISL_17245091,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Costa Rica/INC-0102/2020,EPI_ISL_682243,HOSPITAL SAN JUAN DE DIOS,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud","Francisco Duarte, Hebleen Porras, Claudio Soto-Garita, Estela Cordero, Adriana Godinez & Melany Calderon"
hCoV-19/Sao Tome and Principe/06/2021,EPI_ISL_10322959,LNR-TB,LNR-TB,"Rosa Neto, Katia Toancha, NiltonTeixeira, Lazismino Lazaro, Marcos Nascimento, Yardlene Sequeira, Clédma Costa,Admilde Gomes, Adjaia Borges, Alzira Pereira, Asmiralda Santos, Nelido Viana, Anabela Gonçalves, Joseldo Fernandes"
hCoV-19/Brazil/AM-FIOCRUZ-ILMD2206271/2022,EPI_ISL_16230167,Laboratório Central de Saúde Pública do Amazonas - LACEN-AM,"Laboratório de Ecologia de Doenças Transmissíveis na Amazônia, Instituto Leônidas e Maria Deane - Fiocruz Amazônia","Dejanane Silva, Valdinete Nascimento, Victor Souza, Fernanda Nascimento, George Silva, Matilde Mejía, Luciana Gonçalves, Maria Júlia Brandão, Felipe Naveca on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/Mauritius/10154/2023,EPI_ISL_17245095,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ramuth M, Ubheeram J, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Italy/LOM_ASSTMonza_6000192816_26083000/2022,EPI_ISL_16344179,ASST MONZA,ASST MONZA,Sergio Maria Ivano Malandrin
hCoV-19/USA/NE-NCOV21-19406/2021,EPI_ISL_2023422,Nebraska Public Health Laboratory,NPHL COVID-19 Response Team,NPHL COVID-19 Response Team
hCoV-19/Mexico/MOR_IBT_IMSS_10377/2022,EPI_ISL_16712279,Laboratorio Central de Epidemiología (LCE),Instituto de Biotecnología de la UNAM,"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elías Alvarado-Yaah, Carlos F. Arias, Eduardo Becerril-Vargas, David Alejandro Cabrera-Gaytán, Guillermo Corona Armenta, Cristóbal Cháidez-Quiróz, Hermilo Domínguez-Zarate, Julissa Enciso-Ibarra, Gloria Espinosa-Ayala, Daniel Fregoso-Rueda, Alejandra García-Gasca, Rodrigo García-López, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivón Herrera-Nájera, Beatriz Jiménez-Moraila, Daniel Lira-Morales, Brenda Irasema Maldonado-Meza, María Guadalupe Márquez-Rosales, Julio César Martínez-Álvarez, Bernardo Martínez-Miguel, Gabriela Bibiana Martínez-Morales, Célida Martínez-Rodríguez, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Héctor Montoya-Fuentes, Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Ilse Patricia Salinas-Peralta, Bruno Tonatiuh Rivas-Santiago, Mauricio Rosales-Rivera, Jorge Salas-Hernández, Ángel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vázquez, Joel Armando Vázquez-Pérez."
hCoV-19/Ecuador/NIC-INSPI-8021482/2022,EPI_ISL_15898912,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Aruba/AW-RIVM-114505/2022,EPI_ISL_15375031,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Hai Xi Wiegmans, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Australia/TAS003813/2022,EPI_ISL_15381700,Royal Hobart Hospital,Royal Hobart Hospital,"J Williamson, R Vanhaeften, J Maskell, C Atkinson, Dr. L Cooley, Dr. J Chua"
hCoV-19/Canada/PE-NML-524016/2022,EPI_ISL_15722633,PE-QEH Dept of Lab Medicine,National Microbiology Laboratory (NML),"Vanessa Arseneau, Xiaofeng Ding, Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Kristyn Burak, Natalie Knox, Morag Graham, Gary Van Domselaar, Gordon Jolly, Carmen Lia Murall, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Emily Haidl, Connor Chato, Chanchal Yadav, Jeff Tuff, Adrian Zetner, Katherine Eaton, Kirsten Biggar, Andrea Tyler, CanCOGeN's metadata curation team, Public Health Agency of Canada's CCGP and Scientific Informatics Services team"
hCoV-19/USA/DE-DHSS-B1099407/2021,EPI_ISL_14794037,Delaware Public Health Lab,Delaware Public Health Lab,"Holly Miller, Moneeb Bajwa"
hCoV-19/South Korea/KDCA220589/2023,EPI_ISL_17229817,"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Jeong-Ah Kim, Il-Hwan Kim, Jin Sun No, Chae Young Lee, Yu jeong ahn, Hyuck Jin Lee, Eun-Jin Kim"
hCoV-19/Indonesia/JK-NIHRD-23-00096/2023,EPI_ISL_16645355,Laboratorium Econolab,National Institute of Health Research and Development,"Hana Apsari Pawestri, Arie Ardiansyah Nugraha, Fajar Nur Sulistyahadi, Hartanti Dian Ikawati, Markus Evan Anggia, Subangkit, Nelis Imaningsih, IGM Wirabrata"
hCoV-19/Denmark/DCGC-600353/2022,EPI_ISL_15551508,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",Statens Serum Institut Bioinformatics and Microbial Genomics,Danish Covid-19 Genome Consortium
hCoV-19/Guatemala/10044-LNS/2022,EPI_ISL_16338743,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/Monaco/cerba-22Q0275678/2022,EPI_ISL_14328893,Centre Hospitalier (CH) De Monaco Princesse De Grace,Laboratoire Cerba,"Laura Verdurme, Mathilde Roussel, Sabine Trombert-Paolantoni, Benoit Visseaux, Bénédicte Roquebert, Stéphanie Haim-Boukobza"
hCoV-19/Peru/LIM-INS-40574/2023,EPI_ISL_17021423,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,"Carlos Padilla Rojas, Veronica Hurtado Vela, Victor Jimenez Vasquez, Iris Silva Molina, Luis Barcena Flores, Wendy Lizarraga Olivares, Alicia Nuñez Llanos, Steve Acedo Lazo, Luren Sevilla Castañeda, Kelly Izarra Rojas, Princesa Medrano Alhuay, Estela Huaman Angeles, Lilian Huarca Balbin, Karla Vásquez Cajachahua, Olga Torres Gonzales, Vanesa Dominguez Villanueva, Omar Caceres Rey, Marco Galarza Perez, Henri Bailon Calderon, Nancy Rojas Serrano, Priscila Lope Pari, Lely Solari Zerpa, Joseph Huayra Niquen, Gloria Arotinco Garayar."
hCoV-19/Guatemala/10043-LNS/2022,EPI_ISL_16338742,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/Dominican Republic/2110175-LNSPDD/2022,EPI_ISL_16184179,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Malaysia/TIDREC-NSC2455/2022,EPI_ISL_16282609,FORENSIK HOSPITAL SULTANAH BAHIYAH,"Tropical Infectious Diseases Research & Education Centre (TIDREC), Universiti Malaya","Kim-Kee Tan, Jia-Yi Tan, Jo-Ern Wong, Wei-Wei Aw, Siti-Sarah Nor'e, Che-Norainon Yaacob, Mulya-Mustika-Sari Zulkifli, AsmaAnati CheMatSeri, Nur-Hidayana Mahfodz, Noor Syahida Azizan, Sazaly AbuBakar"
hCoV-19/Mexico/MEX-INMEGEN-100-249/2023,EPI_ISL_17170207,SALUD DIGNA,Instituto Nacional de Medicina Genomica,"Cedro-Tanda A, Escobar-Arrazola MA, Ramirez-Vega O, Garnica-Lopez Dora, Abraham Campos-Romero, Moreno-Camacho José Luis, Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Garcia-Garcia FE, Sanchez-Xochipa S, Hidalgo-Miranda A, Mendoza-Vargas A, Herrera-Montalvo LA."
hCoV-19/USA/VA-DCLS-0323/2020,EPI_ISL_614104,Virginia DCLS,Virginia DCLS,Virginia DCLS
hCoV-19/Bonaire/BQ-RIVM-81220/2022,EPI_ISL_9086296,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Linda van Someren, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Canada/MB-CPL-602429/2023,EPI_ISL_17192005,MB-Cadham Provincial laboratory,Manitoba Cadham Provincial Laboratory,"David Alexander, Ayo Bolaji, Brooke Cistarelli, Adam Hedley, Kerry Dust"
hCoV-19/USA/NV-CDC-LC0965566/2022,EPI_ISL_16360694,Laboratory Corporation of America,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton Paden, Duncan MacCannell"
hCoV-19/Japan/PG-392282/2022,EPI_ISL_15894526,Fukuoka Institute of Health and Environmental Sciences,Fukuoka Institute of Health and Environmental Sciences,"Yoshiki Etoh, Asako Nakamura, Hiroaki Shigemura, Yuri Kondo, Takayuki Kobayashi, Yasutaka Horiuchi, Yuki Carl, Saori Ueda, Chiharu Katamune, Ikumi Sato, Noriko Kondo, Yuki Ashizuka, Mitsuhiro Hamasaki, Tsuyoshi Sekizuka, Kentaro Itokawa, Akina Ogamino, Rina Tanaka, Masanori Hashino, Makoto Kuroda"
hCoV-19/Algeria/43859/2022,EPI_ISL_17182679,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Pakistan/NIH-B113-S8/2022,EPI_ISL_16238916,"Department of Virology, National Institute of Health, Islamabad, Pakistan","Department of Virology, National Institute of Health, Islamabad, Pakistan","Massab Umair, Aamer Ikram, Muhammad Salman, Zaira Rehman, Muhammad Ammar, Syed Adnan Haider, Qasim Malik"
hCoV-19/South Korea/KDCA205678/2023,EPI_ISL_16900705,"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency","Jeong-Ah Kim, Yu jeong Ahn, Ae Kyung Park, Il-Hwan Kim, Chae Young Lee, Hyuck Jin Lee, Eun-Jin Kim"
hCoV-19/Mexico/QUE_IBT_IMSS_6863/2022,EPI_ISL_11826239,Laboratorio Central de Epidemiología (LCE),Instituto de Biotecnología de la UNAM,"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Kathia Elizabeth Tapia-Diaz, Gloria Vazquez, Joel Armando Vázquez-Pérez)."
hCoV-19/Norway/1378/2020,EPI_ISL_2549107,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology","Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Line Victoria Moen, Debech Nadia, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes"
hCoV-19/Australia/WA6713/2022,EPI_ISL_14830247,PathWest Laboratory Medicine WA,PathWest Laboratory Medicine WA Microbial Surveillance Unit,PathWest Laboratory Medicine WA Microbial Surveillance Unit
hCoV-19/Dominican Republic/2077633-LNSPDD/2022,EPI_ISL_15435694,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/USA/AR-20U119MD00334/2020,EPI_ISL_17130197,"Department of Pathology and Laboratory Services, University of Arkansas for Medical Sciences","Department of Pathology and Laboratory Services, University of Arkansas for Medical Sciences","""Harley, S.E., Laudadio, J., Henry, A., Morgan, C., Hendricks, S., Boileau, A., Williams, A., Stewart, T., Thurman, T.J., Bird, J.T., Byrum, S.D., Kennedy, J.L., Harley, S.E., Laudadio, J., Henry, A., Morgan, C., Hendricks, S., Boileau, A., Williams, A., Stewart, T., Thurman, T.J., Bird, J.T., Byrum, S.D., Kennedy, J.L."""
